[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Tag[ view_filter ] --START--
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Run ContentReplace Behavior [ RunTime:0.002748s ]
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Run TokenBuild Behavior [ RunTime:0.002613s ]
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002314s ]
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Run ShowRuntime Behavior [ RunTime:0.006711s ]
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Tag[ view_filter ] --END-- [ RunTime:0.014681s ]
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Tag[ view_end ] --START--
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Run ShowPageTrace Behavior [ RunTime:0.006071s ]
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Tag[ view_end ] --END-- [ RunTime:0.006191s ]
[ 2014-10-24T09:59:43+08:00 ] /Public/Images/icon_search.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-24T09:59:43+08:00 ] /Public/Images/icon_add.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-24T09:59:43+08:00 ] /Public/Images/th_bg.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-24T09:59:43+08:00 ] /Public/Images/loading2.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-24T09:59:44+08:00 ] /Public/Images/icon_add.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-24T09:59:44+08:00 ] /Member/add | INFO: Tag[ route_check ] --START--
[ 2014-10-24T09:59:44+08:00 ] /Member/add | INFO: Run CheckRoute Behavior [ RunTime:0.003933s ]
[ 2014-10-24T09:59:44+08:00 ] /Member/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.004078s ]
[ 2014-10-24T09:59:44+08:00 ] /Member/add | INFO: Tag[ app_begin ] --START--
[ 2014-10-24T09:59:44+08:00 ] /Member/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004326s ]
[ 2014-10-24T09:59:44+08:00 ] /Member/add | INFO: Run CheckLang Behavior [ RunTime:0.006491s ]
[ 2014-10-24T09:59:44+08:00 ] /Member/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.011013s ]
[ 2014-10-24T09:59:44+08:00 ] /Member/add | NOTIC: [8] Undefined index: sub MemberAction.class.php 第 63 行.
[ 2014-10-24T09:59:44+08:00 ] /Member/add | SQL: SHOW COLUMNS FROM `lj_member` [ RunTime:0.006379s ]
[ 2014-10-24T09:59:44+08:00 ] /Member/add | SQL: SHOW COLUMNS FROM `lj_region` [ RunTime:0.005750s ]
[ 2014-10-24T09:59:44+08:00 ] /Member/add | SQL: SELECT `id`,`name`,`type`,`parent_id` FROM `lj_region`  [ RunTime:0.001223s ]
[ 2014-10-24T09:59:44+08:00 ] /Member/add | NOTIC: [2] Invalid argument supplied for foreach() MemberModel.class.php 第 19 行.
[ 2014-10-24T09:59:44+08:00 ] /Member/add | NOTIC: [2] Invalid argument supplied for foreach() MemberModel.class.php 第 25 行.
[ 2014-10-24T09:59:44+08:00 ] /Member/add | NOTIC: [2] Invalid argument supplied for foreach() MemberModel.class.php 第 33 行.
[ 2014-10-24T09:59:44+08:00 ] /Member/add | INFO: Tag[ view_template ] --START--
[ 2014-10-24T09:59:44+08:00 ] /Member/add | INFO: Run LocationTemplate Behavior [ RunTime:0.005028s ]
[ 2014-10-24T09:59:44+08:00 ] /Member/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.005146s ]
[ 2014-10-24T09:59:44+08:00 ] /Member/add | INFO: Tag[ view_parse ] --START--
[ 2014-10-24T09:59:44+08:00 ] /Member/add | NOTIC: [8] Undefined variable: extend 869b486936896a297d7aa756df40d323.php 第 476 行.
[ 2014-10-24T09:59:44+08:00 ] /Member/add | NOTIC: [8] Undefined variable: row 869b486936896a297d7aa756df40d323.php 第 587 行.
